timestamp,difficulty_score
1758643345.7936356,0.0
1758643345.8580787,0.0
1758643345.9271371,0.0
1758643345.9892108,0.0
1758643346.0568795,0.0
1758643346.122282,0.0
1758643346.1900194,0.0
1758643346.2546062,0.0
1758643346.3275154,0.0
1758643346.3970332,0.0
1758643346.4606915,0.0
1758643346.5265148,0.0
1758643346.592711,0.0
1758643346.6603096,0.0
1758643346.7382445,0.0
1758643346.8103027,0.0
1758643346.8791208,0.0
1758643346.94864,0.0
1758643347.0195634,0.0
1758643347.105126,0.0
1758643347.182231,0.0
1758643347.2510078,0.2
1758643347.3183734,0.0
1758643347.3860416,0.0
1758643347.457438,0.0
1758643347.5261202,0.2
1758643347.5936077,0.2
1758643347.6678994,0.2
1758643347.7422516,0.2
1758643347.808993,0.2
1758643347.880343,0.2
1758643347.9472036,0.2
1758643348.02032,0.2
1758643348.0900605,0.2
1758643348.1702912,0.2
1758643348.2352462,0.2
1758643348.305206,0.2
1758643348.387025,0.2
1758643348.4598186,0.2
1758643348.5299356,0.2
1758643348.6042368,0.2
1758643348.69155,0.2
1758643348.7622354,0.2
1758643348.8327193,0.2
1758643348.898759,0.2
1758643348.9679096,0.2
1758643349.0357332,0.2
1758643349.0992246,0.2
1758643349.169245,0.4
1758643349.2384286,0.4
1758643349.3056557,0.4
1758643349.3785307,0.4
1758643349.4607127,0.4
1758643349.5276012,0.4
1758643349.6024783,0.4
1758643349.6688557,0.4
1758643349.7381773,0.4
1758643349.8244684,0.4
1758643349.9068656,0.4
1758643349.9837072,0.4
1758643350.0724087,0.4
1758643350.146826,0.4
1758643350.2176957,0.4
1758643350.3034818,0.4
1758643350.38287,0.4
1758643350.4478893,0.4
1758643350.5211804,0.4
1758643350.6043427,0.4
1758643350.6686554,0.4
1758643350.7455144,0.4
1758643350.8174865,0.4
1758643350.9002283,0.4
1758643350.9838185,0.4
1758643351.076042,0.4
1758643351.1539564,0.4
1758643351.2345035,0.4
1758643351.3243327,0.4
1758643351.4078946,0.4
1758643351.4895113,0.4
1758643351.5740466,0.4
1758643351.6474414,0.4
1758643351.7134438,0.4
1758643351.7880986,0.4
1758643351.8594108,0.4
1758643351.950002,0.4
1758643352.033664,0.4
1758643352.1075525,0.4
1758643352.1875644,0.4
1758643352.2537394,0.4
1758643352.3497024,0.4
1758643352.422396,0.4
1758643352.4860902,0.4
1758643352.5681493,0.4
1758643352.6373816,0.4
1758643352.7042978,0.4
1758643352.7635052,0.4
1758643352.8480973,0.4
1758643352.9091313,0.4
1758643352.9799805,0.4
1758643353.05436,0.4
1758643353.143198,0.4
1758643353.2077527,0.4
1758643353.2868776,0.4
1758643353.3695388,0.4
1758643353.4507318,0.4
1758643353.5436146,0.4
1758643353.6284335,0.4
1758643353.7156537,0.4
1758643353.8076243,0.4
1758643353.884149,0.4
1758643353.969721,0.4
1758643354.0519826,0.4
1758643354.1368103,0.4
1758643354.2137399,0.4
1758643354.280068,0.4
1758643354.3565695,0.4
1758643354.4516854,0.4
1758643354.5284493,0.4
1758643354.6058247,0.4
1758643354.6833513,0.4
1758643354.7616842,0.4
1758643354.8370862,0.4
1758643354.925614,0.4
1758643355.0016422,0.4
1758643355.1001706,0.4
1758643355.1735547,0.4
1758643355.2414834,0.4
1758643355.3211575,0.4
1758643355.3907847,0.4
1758643355.4560106,0.4
1758643355.5240133,0.4
1758643355.6084337,0.4
1758643355.6901875,0.4
1758643355.7651646,0.4
1758643355.858802,0.4
1758643355.9299746,0.4
1758643356.0228248,0.4
1758643356.1107185,0.4
1758643356.181708,0.4
1758643356.250433,0.25
1758643356.3269029,0.25
1758643356.4011254,0.4
1758643356.4946766,0.4
1758643356.5704882,0.4
1758643356.6541355,0.4
1758643356.7227647,0.4
1758643356.7972083,0.4
1758643356.8817627,0.4
1758643356.9292703,0.4
1758643357.010598,0.4
1758643357.088778,0.4
1758643357.1677387,0.4
1758643357.2376294,0.4
1758643357.323905,0.4
1758643357.3940406,0.4
1758643357.468031,0.4
1758643357.5332751,0.4
1758643357.6260214,0.4
1758643357.6936932,0.4
1758643357.7658129,0.4
1758643357.8266554,0.4
1758643357.8979383,0.4
1758643357.9641342,0.25
1758643358.0460587,0.25
1758643358.1092575,0.25
1758643358.175306,0.4
1758643358.2557702,0.25
1758643358.3318787,0.25
1758643358.3929722,0.25
1758643358.4574685,0.4
1758643358.5378428,0.4
1758643358.6071963,0.4
1758643358.685218,0.4
1758643358.7509294,0.4
1758643358.8223438,0.55
1758643358.8995383,0.55
1758643358.965604,0.55
1758643359.0337148,0.55
1758643359.1012826,0.55
1758643359.1643608,0.55
1758643359.2296562,0.55
1758643359.2971706,0.55
1758643359.3652508,0.55
1758643359.4506023,0.55
1758643359.5244877,0.55
1758643359.597325,0.55
1758643359.6710076,0.55
1758643359.751938,0.55
1758643359.8206577,0.55
1758643359.8932939,0.55
1758643359.9579754,0.55
1758643360.035656,0.55
1758643360.125087,0.55
1758643360.201025,0.55
1758643360.2793605,0.55
1758643360.3583384,0.55
1758643360.4291246,0.55
1758643360.5169065,0.55
1758643360.5969362,0.55
1758643360.6634393,0.55
1758643360.7286954,0.65
1758643360.815426,0.65
1758643360.9042854,0.65
1758643360.9667492,0.65
1758643361.0669253,0.65
1758643361.1392124,0.65
1758643361.2002063,0.65
1758643361.2883172,0.65
1758643361.3598282,0.65
1758643361.4345663,0.8
1758643361.5024586,0.8
1758643361.5784514,0.8
1758643361.6480112,0.8
1758643361.714285,0.8
1758643361.7853596,0.8
1758643361.8471696,0.8
1758643361.9125319,0.8
1758643361.9827752,0.8
1758643362.049841,0.8
1758643362.1164703,0.8
1758643362.1860974,0.8
1758643362.268718,0.8
1758643362.3187237,0.8
1758643362.3965063,0.8
1758643362.462723,0.8
1758643362.5394084,0.8
1758643362.616508,0.8
1758643362.681332,0.8
1758643362.7369094,0.8
1758643362.818355,0.8
1758643362.874917,0.8
1758643362.9537325,0.8
1758643363.0193532,0.8
1758643363.0897243,0.8
1758643363.1400042,0.8
1758643363.2381103,0.8
1758643363.2916315,0.8
1758643363.3416262,0.8
1758643363.4156919,0.8
1758643363.4885778,0.8
1758643363.5697384,0.8
1758643363.6413271,0.8
1758643363.721518,0.8
1758643363.7853866,0.8
1758643363.852412,0.8
1758643363.920469,0.8
1758643363.9999676,0.8
1758643364.072389,0.8
1758643364.1337583,0.8
1758643364.1921163,0.8
1758643364.2676916,0.8
1758643364.3395677,0.8
1758643364.4082825,0.8
1758643364.4807513,0.8
1758643364.5451815,0.9500000000000001
1758643364.6157556,0.9500000000000001
1758643364.6980934,0.9500000000000001
1758643364.7661421,0.9500000000000001
1758643364.8551369,0.9500000000000001
1758643364.9344344,0.9500000000000001
1758643365.005149,0.9500000000000001
1758643365.082794,0.9500000000000001
1758643365.148975,0.9500000000000001
1758643365.2424214,0.9500000000000001
1758643365.3214924,0.9500000000000001
1758643365.4000766,0.9500000000000001
1758643365.4830563,0.9500000000000001
1758643365.5684652,0.9500000000000001
1758643365.6525705,0.9500000000000001
1758643365.7209044,0.9500000000000001
1758643365.7862349,0.9500000000000001
1758643365.871765,0.9500000000000001
1758643365.9446273,0.9500000000000001
1758643366.0117033,0.9500000000000001
1758643366.0942278,0.9500000000000001
1758643366.1561363,0.9500000000000001
1758643366.23734,0.9500000000000001
1758643366.3142564,0.9500000000000001
1758643366.3825731,0.9500000000000001
1758643366.4701135,0.9500000000000001
1758643366.553712,0.9500000000000001
1758643366.6241128,0.9500000000000001
1758643366.7091649,0.9500000000000001
1758643366.7967546,0.9500000000000001
1758643366.881132,0.9500000000000001
1758643366.9628544,0.9500000000000001
1758643367.0441055,0.9500000000000001
1758643367.129174,0.9500000000000001
1758643367.2195704,0.9500000000000001
1758643367.3077927,0.9500000000000001
1758643367.3948867,0.9500000000000001
1758643367.4695375,0.9500000000000001
1758643367.5315957,0.9500000000000001
1758643367.6108344,0.9500000000000001
1758643367.6755357,0.9500000000000001
1758643367.756236,0.9500000000000001
1758643367.820412,0.9500000000000001
1758643367.888049,0.9500000000000001
1758643367.9600906,0.9500000000000001
1758643368.020405,0.9500000000000001
1758643368.0995357,0.9500000000000001
1758643368.1778555,0.9500000000000001
1758643368.2531786,0.9500000000000001
1758643368.3387938,0.9500000000000001
1758643368.4138296,0.9500000000000001
1758643368.4786668,0.9500000000000001
1758643368.55098,0.9500000000000001
1758643368.6305175,0.9500000000000001
1758643368.716087,0.9500000000000001
1758643368.7815487,0.9500000000000001
1758643368.8521917,0.9500000000000001
1758643368.9431307,0.9500000000000001
1758643369.0182326,0.9500000000000001
1758643369.0901778,0.9500000000000001
1758643369.1647263,0.9500000000000001
1758643369.2394783,0.9500000000000001
1758643369.312811,0.9500000000000001
1758643369.3881247,0.9500000000000001
1758643369.4531803,0.9500000000000001
1758643369.538186,0.9500000000000001
1758643369.6230142,0.9500000000000001
1758643369.690977,0.9500000000000001
1758643369.7382228,0.9500000000000001
1758643369.8059173,0.9500000000000001
1758643369.8800232,0.9500000000000001
1758643369.9539177,0.9500000000000001
1758643370.0325608,0.9500000000000001
1758643370.1006365,0.9500000000000001
1758643370.1655564,0.9500000000000001
1758643370.2322938,0.9500000000000001
1758643370.321163,0.9500000000000001
1758643370.3880117,0.9500000000000001
1758643370.4548662,0.9500000000000001
1758643370.5232651,0.9500000000000001
1758643370.5889428,0.9500000000000001
1758643370.6564786,0.9500000000000001
1758643370.7272835,0.9500000000000001
1758643370.8005257,0.9500000000000001
1758643370.87058,0.9500000000000001
1758643370.957571,0.9500000000000001
1758643371.0301747,0.9500000000000001
1758643371.0990076,0.9500000000000001
1758643371.16787,0.9500000000000001
1758643371.2171063,0.9500000000000001
1758643371.2881486,0.9500000000000001
1758643371.3591082,0.9500000000000001
1758643371.416789,0.9500000000000001
1758643371.4852176,0.9500000000000001
1758643371.575278,0.9500000000000001
1758643371.6352127,0.9500000000000001
1758643371.7015266,0.9500000000000001
1758643371.7510586,0.9500000000000001
1758643371.826854,0.9500000000000001
1758643371.884178,0.9500000000000001
1758643371.956367,0.9500000000000001
1758643372.0051072,0.9500000000000001
1758643372.0606148,0.9500000000000001
1758643372.1237574,0.9500000000000001
1758643372.1806793,0.9500000000000001
1758643372.2410285,0.9500000000000001
1758643372.3139474,0.9500000000000001
1758643372.3659217,0.9500000000000001
1758643372.435425,0.9500000000000001
1758643372.4977863,0.9500000000000001
1758643372.5611184,0.9500000000000001
1758643372.627328,0.9500000000000001
1758643372.6986954,0.9500000000000001
1758643372.7466633,0.9500000000000001
1758643372.818446,0.9500000000000001
1758643372.881062,0.9500000000000001
1758643372.9622252,0.9500000000000001
1758643373.0305183,0.9500000000000001
1758643373.0874972,0.9500000000000001
1758643373.1514404,0.9500000000000001
1758643373.1975179,0.9500000000000001
1758643373.2826245,0.9500000000000001
1758643373.3330727,0.9500000000000001
1758643373.4026372,0.9500000000000001
1758643373.4520788,0.9500000000000001
1758643373.518205,0.9500000000000001
1758643373.5889204,0.9500000000000001
1758643373.635679,0.9500000000000001
1758643373.7172792,0.9500000000000001
1758643373.7852163,0.9500000000000001
1758643373.8513687,0.9500000000000001
1758643373.9161272,0.9500000000000001
1758643373.990432,0.9500000000000001
1758643374.0507154,0.9500000000000001
1758643374.11513,0.9500000000000001
1758643374.1912,0.9500000000000001
1758643374.2633843,0.9500000000000001
1758643374.323495,0.9500000000000001
1758643374.3910382,0.9500000000000001
1758643374.4621947,0.9500000000000001
1758643374.524392,0.9500000000000001
1758643374.6044044,0.9500000000000001
1758643374.6829102,0.9500000000000001
1758643374.7385728,0.9500000000000001
1758643374.8060915,0.9500000000000001
1758643374.8874426,0.9500000000000001
1758643374.9406562,0.9500000000000001
1758643375.0132916,0.9500000000000001
